Using downloaded and verified file: /home/carlosgil/.medmnist/bloodmnist.npz
Using downloaded and verified file: /home/carlosgil/.medmnist/bloodmnist.npz
Using downloaded and verified file: /home/carlosgil/.medmnist/bloodmnist.npz
Using downloaded and verified file: /home/carlosgil/.medmnist/bloodmnist.npz
| Wide-Resnet 28x10
P(y|x) 0:37 loss=   2.059282541, acc=   0.179687500
P(x) | 0:38 f(x_p_d)=   2.217424393 f(x_q)=   2.091846943 d=   0.125577450
P(y|x) 0:38 loss=   2.062534809, acc=   0.132812500
P(x) | 0:39 f(x_p_d)=   2.218700409 f(x_q)=   2.088129282 d=   0.130571127
P(y|x) 0:39 loss=   2.064696550, acc=   0.125000000
P(x) | 0:40 f(x_p_d)=   2.237828255 f(x_q)=   2.086015224 d=   0.151813030
P(y|x) 0:40 loss=   2.059098721, acc=   0.156250000
P(x) | 0:41 f(x_p_d)=   2.243522882 f(x_q)=   2.082130432 d=   0.161392450
P(y|x) 0:41 loss=   2.059860229, acc=   0.109375000
P(x) | 0:42 f(x_p_d)=   2.248555660 f(x_q)=   2.079324007 d=   0.169231653
P(y|x) 0:42 loss=   2.056513786, acc=   0.117187500
P(x) | 0:43 f(x_p_d)=   2.262706280 f(x_q)=   2.074102163 d=   0.188604116
P(y|x) 0:43 loss=   2.054590464, acc=   0.171875000
P(x) | 0:44 f(x_p_d)=   2.278141499 f(x_q)=   2.068655014 d=   0.209486485
P(y|x) 0:44 loss=   2.062094688, acc=   0.109375000
P(x) | 0:45 f(x_p_d)=   2.287749529 f(x_q)=   2.063849926 d=   0.223899603
P(y|x) 0:45 loss=   2.050108194, acc=   0.156250000
P(x) | 0:46 f(x_p_d)=   2.304221630 f(x_q)=   2.058575630 d=   0.245646000
P(y|x) 0:46 loss=   2.058634520, acc=   0.109375000
P(x) | 0:47 f(x_p_d)=   2.331012726 f(x_q)=   2.050916433 d=   0.280096292
P(y|x) 0:47 loss=   2.033179522, acc=   0.171875000
P(x) | 0:48 f(x_p_d)=   2.348980427 f(x_q)=   2.044179201 d=   0.304801226
P(y|x) 0:48 loss=   2.046870947, acc=   0.125000000
P(x) | 0:49 f(x_p_d)=   2.341126919 f(x_q)=   2.033050537 d=   0.308076382
P(y|x) 0:49 loss=   2.063366890, acc=   0.085937500
P(x) | 0:50 f(x_p_d)=   2.384403706 f(x_q)=   2.021910906 d=   0.362492800
P(y|x) 0:50 loss=   2.042653561, acc=   0.171875000
P(x) | 0:51 f(x_p_d)=   2.383116722 f(x_q)=   2.009774208 d=   0.373342514
P(y|x) 0:51 loss=   2.045718431, acc=   0.117187500
P(x) | 0:52 f(x_p_d)=   2.432385921 f(x_q)=   1.993524194 d=   0.438861728
P(y|x) 0:52 loss=   2.036837578, acc=   0.140625000
P(x) | 0:53 f(x_p_d)=   2.451039314 f(x_q)=   1.975172997 d=   0.475866318
P(y|x) 0:53 loss=   2.005435467, acc=   0.156250000
P(x) | 0:54 f(x_p_d)=   2.505257607 f(x_q)=   1.956608534 d=   0.548649073
P(y|x) 0:54 loss=   2.065415621, acc=   0.093750000
P(x) | 0:55 f(x_p_d)=   2.545535088 f(x_q)=   1.930986524 d=   0.614548564
P(y|x) 0:55 loss=   2.034317732, acc=   0.117187500
P(x) | 0:56 f(x_p_d)=   2.594804049 f(x_q)=   1.901937366 d=   0.692866683
P(y|x) 0:56 loss=   2.032397747, acc=   0.132812500
P(x) | 0:57 f(x_p_d)=   2.676250458 f(x_q)=   1.867434978 d=   0.808815479
P(y|x) 0:57 loss=   2.003548622, acc=   0.156250000
