Using downloaded and verified file: /home/carlosgil/.medmnist/bloodmnist.npz
Using downloaded and verified file: /home/carlosgil/.medmnist/bloodmnist.npz
Using downloaded and verified file: /home/carlosgil/.medmnist/bloodmnist.npz
Using downloaded and verified file: /home/carlosgil/.medmnist/bloodmnist.npz
| Wide-Resnet 28x10
P(x) | 0:0 f(x_p_d)=   2.119415045 f(x_q)=   2.120719194 d=  -0.001304150
P(y|x) 0:0 loss=   2.080898046, acc=   0.101562500
P(x) | 0:1 f(x_p_d)=   2.119330883 f(x_q)=   2.120789528 d=  -0.001458645
P(y|x) 0:1 loss=   2.077252388, acc=   0.132812500
P(x) | 0:2 f(x_p_d)=   2.119529963 f(x_q)=   2.120677471 d=  -0.001147509
P(y|x) 0:2 loss=   2.079949379, acc=   0.109375000
P(x) | 0:3 f(x_p_d)=   2.119654417 f(x_q)=   2.120722532 d=  -0.001068115
P(y|x) 0:3 loss=   2.076349735, acc=   0.117187500
P(x) | 0:4 f(x_p_d)=   2.120090485 f(x_q)=   2.120458603 d=  -0.000368118
P(y|x) 0:4 loss=   2.074888468, acc=   0.140625000
P(x) | 0:5 f(x_p_d)=   2.120571136 f(x_q)=   2.120365381 d=   0.000205755
P(y|x) 0:5 loss=   2.073930502, acc=   0.140625000
P(x) | 0:6 f(x_p_d)=   2.121000290 f(x_q)=   2.120171785 d=   0.000828505
P(y|x) 0:6 loss=   2.077940226, acc=   0.132812500
P(x) | 0:7 f(x_p_d)=   2.121875763 f(x_q)=   2.119886398 d=   0.001989365
P(y|x) 0:7 loss=   2.078035593, acc=   0.109375000
P(x) | 0:8 f(x_p_d)=   2.122458935 f(x_q)=   2.119616508 d=   0.002842426
P(y|x) 0:8 loss=   2.079763889, acc=   0.093750000
P(x) | 0:9 f(x_p_d)=   2.123404503 f(x_q)=   2.119502306 d=   0.003902197
P(y|x) 0:9 loss=   2.076709032, acc=   0.140625000
P(x) | 0:10 f(x_p_d)=   2.124604464 f(x_q)=   2.119091988 d=   0.005512476
P(y|x) 0:10 loss=   2.074784040, acc=   0.156250000
P(x) | 0:11 f(x_p_d)=   2.125132561 f(x_q)=   2.118834019 d=   0.006298542
P(y|x) 0:11 loss=   2.077454090, acc=   0.085937500
