Using downloaded and verified file: /home/carlosgil/.medmnist/bloodmnist.npz
Using downloaded and verified file: /home/carlosgil/.medmnist/bloodmnist.npz
Using downloaded and verified file: /home/carlosgil/.medmnist/bloodmnist.npz
Using downloaded and verified file: /home/carlosgil/.medmnist/bloodmnist.npz
| Wide-Resnet 28x10
P(x) | 0:0 f(x_p_d)=   2.119415045 f(x_q)=   2.120719433 d=  -0.001304388
P(y|x) 0:0 loss=   2.078232527, acc=   0.101562500
P(x) | 0:1 f(x_p_d)=   2.119330883 f(x_q)=   2.120812893 d=  -0.001482010
P(y|x) 0:1 loss=   2.078786850, acc=   0.125000000
P(x) | 0:2 f(x_p_d)=   2.119544029 f(x_q)=   2.120734215 d=  -0.001190186
P(y|x) 0:2 loss=   2.077418566, acc=   0.125000000
P(x) | 0:3 f(x_p_d)=   2.119686842 f(x_q)=   2.120738506 d=  -0.001051664
P(y|x) 0:3 loss=   2.078391552, acc=   0.093750000
P(x) | 0:4 f(x_p_d)=   2.120150089 f(x_q)=   2.120405912 d=  -0.000255823
P(y|x) 0:4 loss=   2.076631546, acc=   0.148437500
P(x) | 0:5 f(x_p_d)=   2.120682716 f(x_q)=   2.120379925 d=   0.000302792
P(y|x) 0:5 loss=   2.077019930, acc=   0.140625000
P(x) | 0:6 f(x_p_d)=   2.121153355 f(x_q)=   2.120201111 d=   0.000952244
P(y|x) 0:6 loss=   2.077320337, acc=   0.109375000
P(x) | 0:7 f(x_p_d)=   2.122087479 f(x_q)=   2.119916677 d=   0.002170801
P(y|x) 0:7 loss=   2.078618050, acc=   0.117187500
P(x) | 0:8 f(x_p_d)=   2.122713089 f(x_q)=   2.119606018 d=   0.003107071
P(y|x) 0:8 loss=   2.078927994, acc=   0.109375000
P(x) | 0:9 f(x_p_d)=   2.123712063 f(x_q)=   2.119549274 d=   0.004162788
P(y|x) 0:9 loss=   2.078091860, acc=   0.125000000
P(x) | 0:10 f(x_p_d)=   2.125007629 f(x_q)=   2.119139671 d=   0.005867958
P(y|x) 0:10 loss=   2.076304436, acc=   0.117187500
P(x) | 0:11 f(x_p_d)=   2.125611305 f(x_q)=   2.118804932 d=   0.006806374
P(y|x) 0:11 loss=   2.076673508, acc=   0.117187500
P(x) | 0:12 f(x_p_d)=   2.127315998 f(x_q)=   2.118311644 d=   0.009004354
P(y|x) 0:12 loss=   2.075822115, acc=   0.117187500
P(x) | 0:13 f(x_p_d)=   2.129108191 f(x_q)=   2.117718697 d=   0.011389494
P(y|x) 0:13 loss=   2.075510025, acc=   0.132812500
P(x) | 0:14 f(x_p_d)=   2.130628109 f(x_q)=   2.117344379 d=   0.013283730
P(y|x) 0:14 loss=   2.077177525, acc=   0.117187500
P(x) | 0:15 f(x_p_d)=   2.131436586 f(x_q)=   2.117035627 d=   0.014400959
P(y|x) 0:15 loss=   2.076825619, acc=   0.125000000
P(x) | 0:16 f(x_p_d)=   2.133814335 f(x_q)=   2.116411209 d=   0.017403126
P(y|x) 0:16 loss=   2.076051235, acc=   0.156250000
P(x) | 0:17 f(x_p_d)=   2.135354996 f(x_q)=   2.115975857 d=   0.019379139
P(y|x) 0:17 loss=   2.076131105, acc=   0.148437500
P(x) | 0:18 f(x_p_d)=   2.138756037 f(x_q)=   2.115076542 d=   0.023679495
P(y|x) 0:18 loss=   2.074198484, acc=   0.203125000
